ID,Title,Parent_ID,Count,Formel,Taille M,Uni,Sombre ⬛️,Bleu,Taille 46 🇮🇹,Taille 36 🇬🇧,de 16 à 49€ 😏,Militaire 🪖,Beige,Marron,Taille L,Gris,Lumineux ⬜️,Casual ✌🏻,Taille 48 🇮🇹,Taille 38 🇬🇧,Taille 40 🇬🇧,Taille 50 🇮🇹,de 50 à 99€ 🫣,Velour,Mat,Rouge,de 100 à 150€ 😳,carreaux,motifs,Taille S,Camel,Texturé,Rayures,Vert,moins de 15€ 😍,Taille 47 🇮🇹,Taille 37 🇬🇧,Taille 44 🇬🇧,Taille 54 🇮🇹,Croisé,Taille XXXL,King size,plus de 150€ 🥵,Lot,Taille 52 🇮🇹,Taille 42 🇬🇧,Taille XL,Taille XS,Taille 44 🇮🇹,Denim,Blanc,Taille XXL,uni,Multicolore,Brillant,Orange,Rose,Texte,bla,Noir,Jaune,Violet,vintage dressing,noir,rouge,Carreaux,Motifs,bleu,multicolore,orange,vert,blanc,beige,rose,turquoise,bleu clair,jaune,doré,marine,gris,marron,crème,bordeaux,kaki,Pointure 42 🇫🇷,Pointure 43 🇫🇷,Pointure 38 🇫🇷,Pointure 44 🇫🇷,Pointure 41 🇫🇷,Pointure 40 🇫🇷,Pointure 45 🇫🇷,Pointure 39 🇫🇷,Pointure 49 🇫🇷,Taille 58 🇮🇹,Taille 56 🇮🇹,Taille 40 🇮🇹,Taille 42 🇫🇷,W34 🇺🇸,L32 🇺🇸,L29 🇺🇸,W36 🇺🇸,L34 🇺🇸,W35 🇺🇸,L30 🇺🇸,W33 🇺🇸,W40 🇺🇸,W29 🇺🇸,W32 🇺🇸,W31 🇺🇸,W30 🇺🇸
34229303,Polos,,14,0,5,5,7,3,0,0,0,0,0,0,2,1,2,14,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229301,Chemises,,193,138,166,61,11,17,0,0,40,11,1,1,7,0,25,184,0,0,0,0,0,1,7,0,0,2,12,7,1,7,29,5,145,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,9,2,0,0,0,0,0,0,0,0,0,0,150,21,15,12,33,30,63,6,9,27,9,6,9,9,15,3,12,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229300,Haut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229299,Sneakers,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229298,Mocassins,,41,31,0,0,36,0,0,0,36,0,0,0,0,0,0,30,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,4,11,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229297,Derbies et Richelieu,,56,26,0,0,43,0,0,0,0,0,0,7,0,0,3,6,0,0,0,0,1,12,12,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,4,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229296,Chaussures bateau,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229295,Chaussures à boucles,,8,8,0,0,7,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229294,Bottines et boots,,24,10,0,0,6,0,0,0,0,0,0,9,0,0,5,9,0,0,0,0,2,7,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229293,Chaussures,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229292,Velours côtelé,,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229291,Pantalons taille haute,,65,64,17,59,46,5,2,0,10,5,0,4,16,17,2,38,10,0,0,6,0,0,0,0,0,1,2,2,0,2,1,2,26,0,0,0,10,0,0,1,0,0,6,0,12,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229290,Jeans,,3,0,1,1,1,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229288,Chinos,,44,0,17,40,18,8,1,0,12,4,19,2,13,4,23,25,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,2,2,2,1,8,4,1,4,3,3,1
34229287,Bas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229285,"Foulards, cravates et écharpes",,114,44,0,1,28,9,0,0,8,0,0,0,0,0,50,0,0,0,0,0,1,0,0,11,0,0,44,0,0,0,1,3,104,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,111,113,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229284,Ceintures & maroquinerie,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229283,Bretelles,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34229282,Accessoires,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
